"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-09-02",134.770004,135.910004,134.410004,135.809998,1238400,134.932541
"2021-09-03",135.570007,135.889999,134.839996,135.399994,697000,134.525177
"2021-09-07",134.580002,134.820007,133.110001,133.130005,1419700,132.269867
"2021-09-08",132.75,133.169998,131.380005,132.880005,1264400,132.021484
"2021-09-09",132.729996,133.419998,131.5,131.759995,1013000,130.908707
"2021-09-10",132.520004,132.779999,130.350006,130.429993,1297200,129.587296
"2021-09-13",131.399994,131.490005,129.059998,130.550003,1599900,129.905731
"2021-09-14",131.339996,131.979996,130.139999,131.240005,1614900,130.592331
"2021-09-15",131.309998,132.679993,130.720001,131.429993,1950100,130.781387
"2021-09-16",131.690002,132.710007,130.330002,132.380005,1349300,131.7267
"2021-09-17",131.649994,131.949997,130.009995,130.139999,1617800,129.497757
"2021-09-20",127.769997,128.059998,126.339996,127.760002,1867600,127.129509
"2021-09-21",128.570007,128.580002,126.300003,127.440002,1149600,126.811081
"2021-09-22",127.949997,128.660004,127.559998,127.839996,1183600,127.209106
"2021-09-23",128.600006,130.050003,128.240005,129.240005,862400,128.602203
"2021-09-24",128.699997,130.149994,128.539993,129.610001,1124500,128.970367
"2021-09-27",129.660004,131.320007,129.5,129.539993,960200,128.900726
"2021-09-28",129.089996,129.509995,127.07,127.260002,929100,126.631973
"2021-09-29",127.699997,127.900002,126.580002,126.830002,810500,126.204094
"2021-09-30",127.209999,127.650002,123.980003,124.010002,1171000,123.39801
"2021-10-01",124.440002,125.709999,122.5,124.959999,1749900,124.343315
"2021-10-04",124.559998,125.279999,122.379997,123.110001,1079600,122.502457
"2021-10-05",123.540001,126.099998,123,125.410004,1430700,124.791107
"2021-10-06",124,125.5,122.580002,125.449997,964000,124.830902
"2021-10-07",126.559998,127.099998,125.269997,125.519997,1378500,124.900551
"2021-10-08",125.599998,126.510002,124.93,126.190002,924700,125.567245
"2021-10-11",126.209999,127,124.440002,124.459999,816300,123.845787
"2021-10-12",124.540001,125.010002,123.07,123.400002,1008800,122.791023
"2021-10-13",123.739998,124.709999,122.900002,124.269997,745500,123.656723
"2021-10-14",125.589996,128.509995,124.959999,128.380005,1030000,127.746437
"2021-10-15",129.320007,130.270004,128.160004,128.330002,925800,127.696686
"2021-10-18",127.269997,129.179993,127.029999,128.970001,737900,128.333527
"2021-10-19",129.649994,130.490005,129.089996,130.139999,637200,129.497757
"2021-10-20",130.479996,131,129.559998,130.289993,700500,129.647003
"2021-10-21",129.619995,130.539993,128.389999,130.520004,820800,129.875885
"2021-10-22",131.080002,131.779999,130.589996,131.139999,850900,130.492828
"2021-10-25",131.220001,131.690002,129.470001,130.490005,712800,129.846039
