"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2022-02-15",156.990005,159.630005,156.369995,158.889999,2090200,158.05484
"2022-02-16",157.460007,160.539993,157.089996,158.860001,1761800,158.024994
"2022-02-17",157.089996,157.820007,153.100006,154.360001,2201500,153.548645
"2022-02-18",153.759995,157.279999,153.300003,153.960007,3158300,153.150757
"2022-02-22",153.520004,155.089996,151.179993,152.929993,2095700,152.12616
"2022-02-23",153.830002,154.649994,148.800003,149.470001,2942800,148.684357
"2022-02-24",143.009995,148.139999,141.029999,147.770004,3693300,146.993286
"2022-02-25",148.820007,154.330002,148.529999,153.589996,2019500,152.782684
"2022-02-28",148.979996,153.509995,147.889999,153.270004,3408000,152.464386
"2022-03-01",152.380005,152.490005,140.149994,140.679993,4335700,139.940552
"2022-03-02",141.949997,143.839996,139.110001,141.199997,3700800,140.457809
"2022-03-03",142.119995,142.660004,136.009995,138.520004,3837300,137.791916
"2022-03-04",135.009995,135.169998,131.020004,134.119995,3864500,133.415024
"2022-03-07",132.490005,132.809998,124.699997,124.800003,4877900,124.144028
"2022-03-08",125.93,130.75,122.43,126.080002,3683400,125.417297
"2022-03-09",132.179993,135.009995,130.979996,131.910004,3061600,131.21666
"2022-03-10",129,132.100006,127.080002,130.259995,3328500,129.575317
"2022-03-11",131.460007,133.110001,129.669998,130.089996,2514500,129.406219
"2022-03-14",132.949997,136.380005,132.399994,133.669998,3001400,132.967392
"2022-03-15",133.729996,136.789993,132.850006,134.270004,2853300,133.564255
"2022-03-16",136.990005,141.199997,134.729996,137.839996,3376800,137.115479
"2022-03-17",132.070007,137.559998,131.160004,137.550003,3154000,136.827011
"2022-03-18",134.029999,138.520004,134.029999,138.210007,6579300,137.483536
"2022-03-21",138.199997,138.889999,133.259995,134.440002,4071300,133.733353
"2022-03-22",136.360001,140.699997,135.910004,138.169998,2964500,137.443741
"2022-03-23",136.770004,137.940002,132.880005,133.990005,1994700,133.285721
"2022-03-24",135.210007,135.699997,133.279999,135.070007,1883800,134.360046
"2022-03-25",136.089996,136.850006,134.660004,135.880005,2240600,135.165787
"2022-03-28",134.949997,134.949997,131.119995,133.25,2747600,132.549606
"2022-03-29",136.289993,137.860001,135.020004,135.690002,2236600,134.976791
"2022-03-30",135.699997,137.320007,133.559998,134.470001,2795600,133.763199
"2022-03-31",133.919998,136.139999,131.289993,131.289993,3273000,130.599899
"2022-04-01",133.020004,134.050003,130.059998,130.889999,2829600,130.202011
"2022-04-04",130.970001,132.869995,129.229996,131.669998,2230200,130.977905
"2022-04-05",130.940002,132.350006,130.070007,130.419998,2333500,129.734482
"2022-04-06",130.220001,131.039993,128.669998,129.279999,3611400,128.600479
"2022-04-07",130.039993,132.740005,126.830002,129.309998,4729800,128.63031
"2022-04-08",130.410004,132.639999,129.679993,131.759995,2597200,131.067429
"2022-04-11",131.949997,133.949997,130.940002,131.229996,1858000,130.540222
"2022-04-12",130.910004,135,130.630005,132.229996,2026100,131.534958
"2022-04-13",130.479996,132.970001,130.309998,132.619995,1704100,131.922913
"2022-04-14",132.729996,134.460007,132.179993,132.589996,2289100,131.893066
"2022-04-18",132.229996,139.130005,132,137.979996,2731300,137.254745
"2022-04-19",138.089996,142.350006,138.089996,141.589996,3119200,140.845764
"2022-04-20",142.729996,144.240005,141.050003,141.850006,2035700,141.104416
