"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2021-09-10",222,222,217.949997,218.639999,267700,214.365646
"2021-09-13",220.440002,223.009995,216.089996,219.220001,251500,214.934296
"2021-09-14",219.220001,219.740005,214.740005,216.070007,224000,211.845901
"2021-09-15",215.940002,221.009995,215.139999,220.449997,319500,216.140259
"2021-09-16",220.429993,220.789993,218.729996,219.460007,176700,215.169632
"2021-09-17",212.690002,216.289993,212.410004,213.600006,837200,209.424179
"2021-09-20",210.369995,212.479996,209.009995,211.869995,478200,207.727997
"2021-09-21",212.759995,212.759995,206.259995,210,594300,205.894547
"2021-09-22",212.729996,214.179993,210.779999,212.020004,541600,207.875061
"2021-09-23",212.860001,217.080002,212.190002,215.369995,579000,211.159561
"2021-09-24",214.360001,215.75,213.699997,214.589996,246500,210.394821
"2021-09-27",214.899994,218.660004,214.899994,216.889999,428000,212.649872
"2021-09-28",217.690002,217.690002,214.080002,215.169998,293200,210.96347
"2021-09-29",215.970001,216.839996,212.600006,215.070007,563700,210.865448
"2021-09-30",215.830002,216.5,208.910004,208.949997,735000,204.865082
"2021-10-01",210.5,210.880005,205.330002,209.419998,542900,205.325897
"2021-10-04",208.320007,214.850006,208.259995,213.5,920600,209.326141
"2021-10-05",213.5,218.740005,212.070007,215.679993,315800,211.463516
"2021-10-06",214.410004,216.720001,211.979996,216.110001,362900,211.885101
"2021-10-07",218.330002,220.339996,215.779999,216.160004,360400,211.934143
"2021-10-08",216.410004,217.449997,213.970001,215.529999,327100,211.316452
"2021-10-11",215.919998,217.389999,213.380005,213.669998,238700,209.492798
"2021-10-12",214.160004,216.100006,213.309998,214.600006,224300,210.404633
"2021-10-13",215.190002,215.839996,211.25,213.130005,305000,208.963364
"2021-10-14",214.690002,219.130005,214.330002,218.949997,292800,214.669586
"2021-10-15",220.990005,221.460007,219.119995,219.169998,276700,214.885284
"2021-10-18",217.720001,223.080002,216.789993,222.600006,310300,218.24823
"2021-10-19",224.169998,225.410004,221.550003,225.289993,345800,220.885635
"2021-10-20",225.660004,229.020004,224.039993,228.020004,538700,223.562286
"2021-10-21",224.550003,227.779999,211.309998,212.509995,997000,208.355484
"2021-10-22",214.570007,216.699997,209.809998,210.429993,701900,206.316147
"2021-10-25",210,211.880005,206.770004,210.160004,563700,206.051437
"2021-10-26",211,211.270004,205.539993,205.619995,544300,201.600174
"2021-10-27",205.25,205.509995,201.229996,202.029999,541900,198.080368
"2021-10-28",202.029999,207.050003,202.029999,205.809998,370400,201.786469
"2021-10-29",205.509995,207.029999,202.110001,203.229996,343600,199.256897
"2021-11-01",203.910004,205.649994,203.550003,204.779999,231200,200.776611
"2021-11-02",205,205.130005,201.070007,205.080002,469400,201.07074
"2021-11-03",204.5,211.080002,204.240005,211.029999,284900,206.904404
"2021-11-04",211,211.600006,207.860001,209.600006,232700,205.50238
"2021-11-05",213.139999,218.589996,209.710007,212.009995,554700,207.86525
"2021-11-08",213.570007,214.899994,212.929993,214.110001,273900,209.924194
"2021-11-09",213.369995,215.139999,212.949997,214.850006,323200,210.64975
"2021-11-10",214.600006,218.470001,214.449997,218.089996,451600,213.826385
"2021-11-11",218.080002,220.710007,217.360001,220.100006,366700,215.797104
"2021-11-12",221.009995,222.539993,219.630005,221.25,453600,216.924606
"2021-11-15",221.729996,222.580002,219.789993,221.679993,449000,217.346207
"2021-11-16",222.539993,224.660004,221.919998,223.660004,436500,219.287506
"2021-11-17",223.5,224.089996,216.889999,217.580002,552800,213.326385
"2021-11-18",217.020004,217.190002,214.070007,215.759995,603900,212.93161
"2021-11-19",215.720001,218.669998,214.740005,215.649994,251700,212.823044
"2021-11-22",216.699997,219.5,216.240005,216.839996,307800,213.997452
"2021-11-23",216.899994,217.610001,213.350006,217.110001,317200,214.263931
"2021-11-24",216.860001,217.009995,213.929993,215.429993,297600,212.605927
"2021-11-26",210.139999,212.320007,208,211.300003,242800,208.53009
"2021-11-29",213.119995,213.600006,209.580002,212.820007,300100,210.030151
"2021-11-30",209.940002,210.270004,205.339996,205.910004,607300,203.210739
"2021-12-01",209.25,211.289993,202.690002,202.770004,367000,200.111908
"2021-12-02",204.509995,211.199997,203.399994,210.070007,271500,207.316208
"2021-12-03",210.720001,211.949997,209.080002,211.119995,211900,208.352448
"2021-12-06",213.970001,214.529999,209.960007,210.240005,347000,207.483994
"2021-12-07",211.529999,215.139999,211.210007,214.270004,267100,211.461151
"2021-12-08",215,215.119995,212.779999,214.699997,413200,211.885498
"2021-12-09",213.449997,215.679993,211.820007,214.330002,390700,211.520355
