"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2021-12-03",335.98999,337.23999,331.399994,335.339996,623700,316.52182
"2021-12-06",337.190002,340.600006,334.01001,339.5,788100,320.448395
"2021-12-07",340.970001,344.420013,339.119995,340.26001,673000,321.165741
"2021-12-08",340.299988,344.029999,336.709991,343.410004,588800,324.138977
"2021-12-09",343.48999,344.980011,341.109985,342.299988,1022900,323.091248
"2021-12-10",343.5,348.529999,342.450012,348,692400,328.471405
"2021-12-13",347.540009,357.299988,347.170013,355.209991,811400,335.276794
"2021-12-14",355.910004,356.320007,347.519989,352.290009,968600,334.403534
"2021-12-15",356,363.119995,355.179993,361.5,833900,343.145905
"2021-12-16",360.839996,364.230011,358.170013,363,891400,344.569733
"2021-12-17",363.730011,368.970001,361.160004,361.73999,1369500,343.373688
"2021-12-20",362.140015,367.130005,357.660004,365.970001,603700,347.388947
"2021-12-21",366.230011,369.339996,360.700012,361.790009,733700,343.421173
"2021-12-22",363.399994,366.519989,362.730011,365.429993,481600,346.876343
"2021-12-23",364.549988,364.790009,359.470001,362.450012,530200,344.047699
"2021-12-27",363.51001,368.809998,362.48999,368.799988,420100,350.075256
"2021-12-28",368.089996,370.730011,367.320007,370.619995,497800,351.802856
"2021-12-29",371.399994,373.320007,368.809998,372.619995,440600,353.701294
"2021-12-30",373,374.070007,369.660004,372.459991,435600,353.549408
"2021-12-31",372.940002,377.359985,372.600006,374.559998,437100,355.542847
"2022-01-03",373.23999,373.390015,359.619995,365.279999,769900,346.733978
