"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2021-12-10",199.729996,200.970001,198.190002,198.559998,431700,197.686966
"2021-12-13",199.050003,202.809998,196.729996,200.800003,717300,199.917114
"2021-12-14",199.25,201.839996,195.320007,196.600006,447900,195.735596
"2021-12-15",197.5,199.740005,195.449997,198.600006,391100,197.726807
"2021-12-16",200.080002,201.960007,196.490005,196.529999,387900,195.665894
"2021-12-17",196.369995,197.199997,191.360001,192.100006,1069900,191.255371
"2021-12-20",189.270004,191.580002,187.589996,190.770004,497100,189.931229
"2021-12-21",192.860001,195.309998,191.240005,194.949997,344800,194.09285
"2021-12-22",194.779999,196.360001,192,194.839996,520900,193.983322
"2021-12-23",195.220001,198.679993,195.220001,197.229996,335500,196.362808
"2021-12-27",197.809998,203.190002,197.809998,203.139999,284600,202.246841
"2021-12-28",203.300003,204.380005,202.080002,203.789993,260300,202.893967
"2021-12-29",204,206.839996,203.149994,205.75,243000,204.845352
"2021-12-30",204.990005,205.789993,203.279999,203.729996,203900,202.834244
"2021-12-31",203.580002,205.470001,201.490005,204.399994,239800,203.501282
