"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2021-12-17",217.410004,217.410004,210.160004,211.029999,2441600,208.17067
"2021-12-20",208.320007,209.089996,203.380005,206.990005,1318300,204.185425
"2021-12-21",208.619995,212.779999,208.210007,211.759995,1038100,208.890793
"2021-12-22",212.190002,212.589996,210.440002,210.919998,755200,208.062164
"2021-12-23",212.369995,214.570007,211.289993,213.970001,649100,211.070847
"2021-12-27",213.410004,216.330002,213.179993,216.210007,480700,213.280502
"2021-12-28",215.479996,218.850006,215.479996,217.529999,539400,214.582596
"2021-12-29",217.449997,219.679993,217,218.720001,559500,215.756485
"2021-12-30",219.320007,220.570007,217.660004,217.839996,444200,214.888412
"2021-12-31",217.020004,219.119995,217.020004,218.139999,668100,215.184341
