"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2021-09-14",76.790001,76.879997,75.559998,75.68,1668400,74.938683
"2021-09-15",75.720001,76.720001,75.25,76.480003,2681000,75.730858
"2021-09-16",76.480003,76.860001,76,76.760002,1900200,76.00811
"2021-09-17",76.349998,76.660004,75.190002,75.480003,3759300,74.740654
"2021-09-20",74.699997,75.139999,74.040001,75.059998,2536400,74.32476
"2021-09-21",75.18,75.459999,74.480003,74.510002,2322200,73.780151
"2021-09-22",74.980003,75.739998,74.830002,75.389999,1713200,74.651527
"2021-09-23",75.669998,77.279999,75.269997,77.150002,2723600,76.394287
"2021-09-24",76.769997,78.059998,76.75,77.620003,2989800,76.859688
"2021-09-27",77.349998,78.290001,76.809998,78.029999,2884400,77.265671
"2021-09-28",77.709999,77.830002,76.18,76.360001,2959500,75.61203
"2021-09-29",76.260002,76.559998,75.489998,75.580002,2062100,74.839668
"2021-09-30",75.870003,76.129997,74.019997,74.209999,2837000,73.483086
"2021-10-01",74.629997,75.68,73.779999,75.269997,2395700,74.5327
"2021-10-04",74.989998,75.440002,73.900002,74.339996,1967400,73.611816
"2021-10-05",74.480003,74.940002,73.889999,74.43,1856300,73.700928
"2021-10-06",73.800003,74.889999,73.050003,74.360001,2304500,73.631622
"2021-10-07",75,75.75,74.910004,75.260002,1516900,74.522804
"2021-10-08",75.129997,76,75.080002,75.489998,2191500,74.750549
"2021-10-11",75.160004,76.419998,75.150002,75.389999,1893400,74.651527
"2021-10-12",75.18,75.660004,74.68,75.110001,2672800,74.374275
"2021-10-13",75.989998,76.580002,75.220001,75.629997,2720100,74.889183
"2021-10-14",76.260002,77.800003,76.260002,77.449997,2268000,76.691345
"2021-10-15",77.709999,78.959999,77.360001,78.830002,5901600,78.057838
"2021-10-18",78.440002,79.07,77.910004,78.889999,2181300,78.117249
"2021-10-19",79.290001,79.910004,78.919998,79.790001,1758300,79.008423
"2021-10-20",79.599998,79.769997,78.290001,79.160004,1765100,78.384605
"2021-10-21",78.970001,79.199997,78.550003,79.080002,1628300,78.305389
"2021-10-22",79.339996,79.790001,78.860001,79,1726200,78.226166
"2021-10-25",79.150002,79.220001,78.75,78.959999,1600400,78.186554
"2021-10-26",79.290001,80.239998,78.68,78.75,3441600,77.978615
"2021-10-27",78.360001,78.480003,76.629997,77.709999,4054800,76.948799
"2021-10-28",80.019997,82,76.379997,77.32,5048700,76.562614
"2021-10-29",76.919998,78.599998,76.900002,78.089996,2616100,77.325081
"2021-11-01",78,78.449997,77.690002,78,1460600,77.235962
"2021-11-02",78.260002,78.699997,77.800003,78.620003,2106900,77.849884
"2021-11-03",78.550003,80,77.720001,79.650002,2841300,78.869804
"2021-11-04",79.730003,80.209999,79.169998,79.540001,2257800,78.76088
"2021-11-05",80,80.940002,79.660004,79.910004,1791900,79.127251
"2021-11-08",80,80.529999,79.730003,80.169998,1393200,79.384705
"2021-11-09",80.120003,80.690002,79.75,80.510002,1787200,79.721375
"2021-11-10",80.599998,81.5,80.529999,80.650002,2253500,79.860001
"2021-11-11",80.879997,81.559998,80.580002,81.07,2100000,80.275887
"2021-11-12",81.209999,82.529999,81.07,81.980003,2131000,81.176979
"2021-11-15",82.290001,82.68,81.720001,81.949997,2007700,81.147263
"2021-11-16",82,82.540001,81.540001,81.75,2006200,80.949234
"2021-11-17",81.370003,81.720001,80.43,80.989998,3018800,80.196678
"2021-11-18",81.5,81.629997,79.57,81.040001,4304800,80.48468
"2021-11-19",81.290001,82.839996,80.650002,81.989998,4154400,81.428177
"2021-11-22",82.169998,82.809998,81.239998,81.389999,3135200,80.832283
"2021-11-23",81.089996,81.540001,79.959999,80.760002,3351500,80.206612
"2021-11-24",79.970001,80.940002,79.540001,80.739998,2205600,80.186745
"2021-11-26",80.029999,80.18,78.099998,78.400002,1727600,77.862778
"2021-11-29",79.309998,80.139999,78.519997,79.709999,2404200,79.163803
"2021-11-30",79.550003,79.650002,77.470001,77.980003,4891600,77.445656
"2021-12-01",79,79.440002,76.790001,76.860001,3123400,76.333328
"2021-12-02",77.470001,79.720001,76.889999,79.43,3070700,78.885719
"2021-12-03",79.879997,80.019997,77.779999,78.519997,3494000,77.981949
"2021-12-06",79.470001,81.290001,78.510002,80.720001,2877900,80.166885
"2021-12-07",81.580002,82.389999,81.290001,81.449997,2848500,80.891876
"2021-12-08",81.739998,82.18,81.199997,81.220001,2472200,80.663452
"2021-12-09",80.849998,81.239998,80.559998,80.989998,2160000,80.435028
"2021-12-10",81.25,82.279999,81.25,82.099998,2435900,81.537422
"2021-12-13",82,82.389999,81.43,81.93,2180000,81.368591
"2021-12-14",81.360001,82.709999,81.169998,81.879997,2490100,81.318924
"2021-12-15",81.940002,83.050003,81.230003,82.900002,2938000,82.33194
"2021-12-16",84.290001,85.339996,83.620003,84.68,5230400,84.099739
"2021-12-17",84.269997,85.940002,84.040001,84.82,7361900,84.238785
"2021-12-20",83.620003,84.07,81.849998,82.910004,2055300,82.341873
"2021-12-21",83.519997,85.309998,83.360001,85.199997,2186100,84.616173
"2021-12-22",84.919998,85.970001,84.830002,85.900002,1947200,85.311378
"2021-12-23",86.050003,86.970001,85.93,86.290001,1647300,85.698715
"2021-12-27",86.440002,88.18,86.360001,88.089996,1883500,87.486374
"2021-12-28",88.269997,88.889999,87.989998,88.730003,1516500,88.121994
"2021-12-29",88.68,90.080002,88.519997,89.589996,2060900,88.976097
"2021-12-30",89.589996,89.949997,88.830002,88.940002,1412700,88.330559
"2021-12-31",88.720001,89.169998,88.650002,88.720001,1356500,88.112061
"2022-01-03",88.68,89.970001,88.389999,89.57,2673800,88.956238
"2022-01-04",89.57,92.029999,89.550003,91.419998,2702700,90.793556
"2022-01-05",91.419998,91.919998,89.980003,90.019997,2523700,89.403145
"2022-01-06",90.089996,90.699997,87.989998,88.230003,3207600,87.62542
"2022-01-07",88.169998,88.169998,86.980003,87.419998,2755000,86.820969
"2022-01-10",85.93,86.75,84.889999,86.68,3504400,86.086037
"2022-01-11",86.5,88.029999,85.519997,87.970001,2797400,87.367195
"2022-01-12",88.440002,89.610001,87.620003,88.07,2858300,87.466515
"2022-01-13",88.110001,88.480003,87.019997,87.199997,2556600,86.60247
"2022-01-14",86,87.309998,85.970001,87.199997,2327000,86.60247
"2022-01-18",85.519997,86.800003,85.389999,86.190002,2345900,85.599396
"2022-01-19",86.260002,87.029999,85.900002,86.040001,2626000,85.450424
"2022-01-20",86.279999,87.559998,85.620003,85.690002,2453400,85.102821
"2022-01-21",86.169998,86.93,84.129997,84.260002,4225700,83.682625
"2022-01-24",84.919998,85.199997,81.790001,85.099998,5056100,84.516869
"2022-01-25",83.959999,84.150002,82.07,82.25,3805900,81.686394
"2022-01-26",82.669998,84.07,80.970001,81.830002,2866600,81.269272
"2022-01-27",82.32,83.93,81.300003,81.790001,2837800,81.229553
"2022-01-28",81.790001,84.470001,81.230003,84.440002,2491400,83.861389
"2022-01-31",84.18,85.589996,83.690002,85.419998,4080700,84.834671
"2022-02-01",85.379997,86.540001,84.790001,86.419998,3224300,85.827812
"2022-02-02",86.349998,88.43,86.290001,88.239998,4075600,87.635345
"2022-02-03",87.239998,87.559998,84.269997,86.059998,3680600,85.470284
"2022-02-04",85.559998,87.199997,84.860001,86.82,3105500,86.225082
"2022-02-07",87.190002,88.529999,86.209999,87.739998,3003400,87.138771
"2022-02-08",87.739998,89.440002,87.540001,89.169998,2786300,88.558975
"2022-02-09",90.050003,91.870003,89.849998,91.690002,3760600,91.061714
"2022-02-10",90,92.440002,89.650002,90.25,3886200,89.631569
"2022-02-11",90.239998,90.519997,87.040001,87.339996,3480500,86.741516
"2022-02-14",87.400002,87.540001,84.980003,86.239998,3006700,85.649048
"2022-02-15",87.150002,89.150002,86.830002,89.059998,3240800,88.44973
"2022-02-16",88.540001,89.68,87.959999,89.419998,3161100,88.807266
"2022-02-17",88.400002,88.620003,85.75,85.919998,2800500,85.589676
"2022-02-18",85.739998,87.019997,85.730003,86.360001,2553000,86.027992
"2022-02-22",86.169998,86.790001,84.349998,85.269997,2568000,84.942177
"2022-02-23",85.68,86.519997,84.440002,84.650002,2943600,84.324562
"2022-02-24",82.68,86.400002,82.360001,86.080002,3855800,85.749069
"2022-02-25",86.290001,88.080002,85.949997,88.040001,2892500,87.70153
"2022-02-28",86.5,87.019997,84.980003,86.129997,3835600,85.798874
"2022-03-01",85.580002,86.540001,84.410004,85.800003,3327500,85.470146
"2022-03-02",86.510002,88.769997,86.279999,88.190002,4074100,87.85096
"2022-03-03",88.739998,89.669998,86.82,87.93,4163700,87.591957
"2022-03-04",87.220001,89.019997,86.470001,88.879997,3072300,88.5383
