"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2021-09-01",152.830002,154.979996,152.339996,152.509995,80313700,151.870819
"2021-09-02",153.869995,154.720001,152.399994,153.649994,71115500,153.006042
"2021-09-03",153.759995,154.630005,153.089996,154.300003,57808700,153.65332
"2021-09-07",154.970001,157.259995,154.389999,156.690002,82278300,156.033325
"2021-09-08",156.979996,157.039993,153.979996,155.110001,74420200,154.459915
"2021-09-09",155.490005,156.110001,153.949997,154.070007,57305700,153.424286
"2021-09-10",155,155.479996,148.699997,148.970001,140893200,148.345657
"2021-09-13",150.630005,151.419998,148.75,149.550003,102404300,148.923233
"2021-09-14",150.350006,151.070007,146.910004,148.119995,109296300,147.499222
"2021-09-15",148.559998,149.440002,146.369995,149.029999,83281300,148.405396
"2021-09-16",148.440002,148.970001,147.220001,148.789993,68034100,148.166397
"2021-09-17",148.820007,148.820007,145.759995,146.059998,129868800,145.447845
"2021-09-20",143.800003,144.839996,141.270004,142.940002,123478900,142.340927
"2021-09-21",143.929993,144.600006,142.779999,143.429993,75834000,142.828873
"2021-09-22",144.449997,146.429993,143.699997,145.850006,76404300,145.238739
"2021-09-23",146.649994,147.080002,145.639999,146.830002,64838200,146.21463
"2021-09-24",145.660004,147.470001,145.559998,146.919998,53477900,146.304245
"2021-09-27",145.470001,145.960007,143.820007,145.369995,74150700,144.760757
"2021-09-28",143.25,144.75,141.690002,141.910004,108972300,141.315262
"2021-09-29",142.470001,144.449997,142.029999,142.830002,74602000,142.2314
"2021-09-30",143.660004,144.380005,141.279999,141.5,89056700,140.906967
"2021-10-01",141.899994,142.919998,139.110001,142.649994,94639600,142.052139
"2021-10-04",141.759995,142.210007,138.270004,139.139999,98322000,138.556854
"2021-10-05",139.490005,142.240005,139.360001,141.110001,80861100,140.518616
"2021-10-06",139.470001,142.149994,138.369995,142,83221100,141.404877
"2021-10-07",143.059998,144.220001,142.720001,143.289993,61732700,142.689453
"2021-10-08",144.029999,144.179993,142.559998,142.899994,58773200,142.301086
"2021-10-11",142.270004,144.809998,141.809998,142.809998,64452200,142.211487
"2021-10-12",143.229996,143.25,141.039993,141.509995,73035900,140.916916
"2021-10-13",141.240005,141.399994,139.199997,140.910004,78762700,140.319443
"2021-10-14",142.110001,143.880005,141.509995,143.759995,69907100,143.157486
"2021-10-15",143.770004,144.899994,143.509995,144.839996,67940300,144.232986
"2021-10-18",143.449997,146.839996,143.160004,146.550003,85589200,145.935806
"2021-10-19",147.009995,149.169998,146.550003,148.759995,76378900,148.136536
"2021-10-20",148.699997,149.75,148.119995,149.259995,58418800,148.634445
"2021-10-21",148.809998,149.639999,147.869995,149.479996,61421000,148.853531
"2021-10-22",149.690002,150.179993,148.639999,148.690002,58883400,148.066849
"2021-10-25",148.679993,149.369995,147.619995,148.639999,50720600,148.017059
"2021-10-26",149.330002,150.839996,149.009995,149.320007,60893400,148.694199
"2021-10-27",149.360001,149.729996,148.490005,148.850006,56094900,148.226181
"2021-10-28",149.820007,153.169998,149.720001,152.570007,100077900,151.930573
"2021-10-29",147.220001,149.940002,146.410004,149.800003,124953200,149.17218
"2021-11-01",148.990005,149.699997,147.800003,148.960007,74588300,148.335709
"2021-11-02",148.660004,151.570007,148.649994,150.020004,69122000,149.391266
"2021-11-03",150.389999,151.970001,149.820007,151.490005,54511500,150.855103
"2021-11-04",151.580002,152.429993,150.639999,150.960007,60394600,150.327332
"2021-11-05",151.889999,152.199997,150.059998,151.279999,65463900,150.865845
"2021-11-08",151.410004,151.570007,150.160004,150.440002,55020900,150.028152
"2021-11-09",150.199997,151.429993,150.059998,150.809998,56787900,150.397125
"2021-11-10",150.020004,150.130005,147.850006,147.919998,65187100,147.515045
"2021-11-11",148.960007,149.429993,147.679993,147.869995,4.1e+07,147.465179
"2021-11-12",148.429993,150.399994,147.479996,149.990005,63804000,149.579376
"2021-11-15",150.369995,151.880005,149.429993,150,59222800,149.58934
"2021-11-16",149.940002,151.490005,149.339996,151,59256200,150.586609
"2021-11-17",151,155,150.990005,153.490005,88807000,153.069794
"2021-11-18",153.710007,158.669998,153.050003,157.869995,137827700,157.43779
"2021-11-19",157.649994,161.020004,156.529999,160.550003,117305600,160.110474
"2021-11-22",161.679993,165.699997,161,161.020004,117467900,160.579178
"2021-11-23",161.119995,161.800003,159.059998,161.410004,96041900,160.968109
"2021-11-24",160.75,162.139999,159.639999,161.940002,69463600,161.496674
"2021-11-26",159.570007,160.449997,156.360001,156.809998,76959800,156.380707
"2021-11-29",159.369995,161.190002,158.789993,160.240005,88748200,159.801315
"2021-11-30",159.990005,165.520004,159.919998,165.300003,174048100,164.847473
"2021-12-01",167.479996,170.300003,164.529999,164.770004,152052500,164.318924
"2021-12-02",158.740005,164.199997,157.800003,163.759995,136739200,163.311676
"2021-12-03",164.020004,164.960007,159.720001,161.839996,118023100,161.396927
"2021-12-06",164.289993,167.880005,164.279999,165.320007,107497000,164.867416
"2021-12-07",169.080002,171.580002,168.339996,171.179993,120405400,170.711349
"2021-12-08",172.130005,175.960007,170.699997,175.080002,116998900,174.600693
